Date,State,TotalSamples,Negative,Positive
4/3/2020,Haryana,1325,938,44
4/7/2020,Haryana,2520,1821,141
4/8/2020,Haryana,2650,1885,153
4/9/2020,Haryana,2964,2017,156
4/10/2020,Haryana,3527,2447,162
4/11/2020,Haryana,3663,2472,165
4/12/2020,Haryana,3903,2513,181
4/13/2020,Haryana,4489,2961,182
4/14/2020,Haryana,5210,3681,184
4/15/2020,Haryana,7388,5581,190
4/16/2020,Haryana,8064,6465,214
4/17/2020,Haryana,8884,7148,223
4/18/2020,Haryana,10454,8093,232
4/19/2020,Haryana,12687,10230,250
4/20/2020,Haryana,13894,11523,251
4/21/2020,Haryana,14562,12253,255
4/22/2020,Haryana,15561,13397,264
4/23/2020,Haryana,17582,15452,270
4/24/2020,Haryana,18845,16642,275
4/25/2020,Haryana,20270,17787,287
4/26/2020,Haryana,21467,19241,296
4/27/2020,Haryana,22993,20702,301
4/28/2020,Haryana,24826,22578,308
4/29/2020,Haryana,26148,24071,311
4/30/2020,Haryana,28202,25929,339
5/1/2020,Haryana,30191,27784,357
5/2/2020,Haryana,31200,28867,369
5/3/2020,Haryana,35278,32583,442
5/4/2020,Haryana,38183,34501,517
5/5/2020,Haryana,40982,36806,548
5/6/2020,Haryana,43279,38590,594
5/7/2020,Haryana,46495,41861,625
5/8/2020,Haryana,49746,43974,647
5/9/2020,Haryana,53282,48468,675
5/10/2020,Haryana,56983,51046,703
5/11/2020,Haryana,59735,53697,730
5/12/2020,Haryana,62377,56440,780
5/13/2020,Haryana,65785,59890,793
5/14/2020,Haryana,69191,63791,818
5/15/2020,Haryana,72326,66687,854
5/16/2020,Haryana,75097,69660,887
5/17/2020,Haryana,78029,72494,910
5/18/2020,Haryana,80698,75045,928
5/19/2020,Haryana,82544,77296,964
5/20/2020,Haryana,83944,78379,970
5/21/2020,Haryana,88138,82372,1031
5/22/2020,Haryana,91119,85317,1067
5/23/2020,Haryana,94035,88051,1131
5/24/2020,Haryana,97006,91138,1184
5/25/2020,Haryana,99987,94725,1213
5/26/2020,Haryana,102018,97350,1305
5/27/2020,Haryana,104747,99555,1381
5/28/2020,Haryana,108031,102260,1504
5/29/2020,Haryana,110940,105169,1721
5/30/2020,Haryana,114683,108385,1923
5/31/2020,Haryana,118138,11709,2091
6/1/2020,Haryana,121779,114792,2356
6/2/2020,Haryana,124564,117340,2652
6/3/2020,Haryana,127895,120393,2954
6/4/2020,Haryana,132575,124769,3281
6/5/2020,Haryana,137452,129027,3597
6/6/2020,Haryana,141688,132684,3952
6/7/2020,Haryana,145722,136555,4448
6/8/2020,Haryana,150220,140081,4854
6/9/2020,Haryana,153692,143513,5209
6/10/2020,Haryana,158470,147453,5438
6/11/2020,Haryana,162967,151060,5968
6/12/2020,Haryana,167501,155395,6334
6/13/2020,Haryana,171560,159333,6749
6/14/2020,Haryana,185722,172678,7208
6/15/2020,Haryana,189914,176741,7722
6/16/2020,Haryana,193421,180051,8272
6/17/2020,Haryana,197703,183395,8832
6/18/2020,Haryana,202808,187303,9218
6/19/2020,Haryana,207675,192082,9743
6/20/2020,Haryana,212430,196836,10223
6/21/2020,Haryana,217797,201984,10635
6/22/2020,Haryana,222948,206436,11025
6/23/2020,Haryana,226951,210998,11520
6/24/2020,Haryana,231673,214896,12010
6/25/2020,Haryana,236898,219064,12463
6/26/2020,Haryana,241941,223797,12884
6/27/2020,Haryana,247139,228275,13427
6/28/2020,Haryana,252356,233567,13829
6/29/2020,Haryana,260341,241356,14210
6/30/2020,Haryana,264203,244000,14548
7/1/2020,Haryana,269726,249453,14941
7/2/2020,Haryana,277031,256053,15509
7/3/2020,Haryana,288478,267194,16003
7/4/2020,Haryana,298094,275869,16548
7/5/2020,Haryana,307159,284570,17005
7/6/2020,Haryana,315853,292701,17504
7/7/2020,Haryana,323491,300195,17999
7/8/2020,Haryana,332504,308289,18690
7/9/2020,Haryana,342404,317159,19369
7/10/2020,Haryana,352343,326679,19934
7/11/2020,Haryana,363428,336790,20582
7/12/2020,Haryana,372621,345903,21240
7/13/2020,Haryana,381420,353885,21929
7/14/2020,Haryana,388760,360991,22628
7/15/2020,Haryana,400155,371350,23306
7/16/2020,Haryana,409852,380138,24002
7/17/2020,Haryana,424692,393627,24797
7/18/2020,Haryana,436535,404852,25547
7/19/2020,Haryana,447345,414438,26164
7/20/2020,Haryana,457310,424137,26858
7/21/2020,Haryana,467740,434300,27462
7/22/2020,Haryana,477412,443585,28186
7/23/2020,Haryana,490414,455864,28975
7/24/2020,Haryana,505220,469631,29755
7/25/2020,Haryana,536323,500579,30538
7/26/2020,Haryana,549463,512734,31332
7/27/2020,Haryana,559326,521416,32127
7/28/2020,Haryana,570219,531644,32876
7/29/2020,Haryana,582639,543201,33631
7/30/2020,Haryana,600893,560863,34254
7/31/2020,Haryana,612591,571751,34965
8/1/2020,Haryana,628806,587418,35758
8/2/2020,Haryana,646286,604056,36519
8/3/2020,Haryana,657949,615375,37173
8/4/2020,Haryana,671064,628013,37796
8/5/2020,Haryana,683500,639335,38548
8/6/2020,Haryana,697779,652600,39303
8/7/2020,Haryana,713061,667244,40054
8/8/2020,Haryana,730036,683237,40843
8/9/2020,Haryana,744080,696664,41635
8/10/2020,Haryana,753945,705790,42429
8/11/2020,Haryana,771769,722780,43227
8/12/2020,Haryana,786839,736914,44024
8/13/2020,Haryana,801784,751225,44817
8/14/2020,Haryana,817509,766184,45614
8/15/2020,Haryana,830477,778189,46410
8/16/2020,Haryana,844422,791184,
8/17/2020,Haryana,854757,801232,48040
8/18/2020,Haryana,867458,812490,48936
8/19/2020,Haryana,889259,833173,
8/20/2020,Haryana,910877,853707,
8/21/2020,Haryana,926568,868016,
8/22/2020,Haryana,944764,885193,53290
8/23/2020,Haryana,964297,903523,54386
8/24/2020,Haryana,983187,921303,55460
8/25/2020,Haryana,1001781,938914,56608
8/26/2020,Haryana,1025524,961297,58005
8/27/2020,Haryana,1051189,985217,59298
8/28/2020,Haryana,1076063,1008916,60596
8/29/2020,Haryana,1103832,1035131,61987
8/30/2020,Haryana,1130073,1060143,63282
8/31/2020,Haryana,1150126,1079232,
9/1/2020,Haryana,1172778,1100351,66426
9/2/2020,Haryana,1195800,1121546,68218
9/3/2020,Haryana,1220075,1143463,
9/4/2020,Haryana,1245640,1167167,
9/5/2020,Haryana,1268518,1187623,74272
9/6/2020,Haryana,1294598,1211295,76549
9/7/2020,Haryana,1317045,1231602,
9/8/2020,Haryana,1334010,1246370,
9/9/2020,Haryana,1370399,1280217,
9/10/2020,Haryana,1399628,1306887,
9/11/2020,Haryana,1431602,1336477,
9/12/2020,Haryana,1461644,1363656,
9/13/2020,Haryana,1490034,1389712,
9/14/2020,Haryana,1514575,1411692,
9/15/2020,Haryana,1536656,1431486,
9/16/2020,Haryana,1565646,1457859,
9/17/2020,Haryana,1594079,1483521,
9/18/2020,Haryana,1623268,1510111,
9/19/2020,Haryana,1651482,1536019,
9/20/2020,Haryana,1681221,1563516,
9/21/2020,Haryana,1706758,1587365,
9/22/2020,Haryana,1729974,1608589,
9/23/2020,Haryana,1758243,1634605,
9/24/2020,Haryana,1783274,1658105,
9/25/2020,Haryana,1803327,1676711,
9/26/2020,Haryana,1827148,1698337,
9/27/2020,Haryana,1851457,1721300,
9/28/2020,Haryana,1872894,1741188,
9/29/2020,Haryana,1893886,1760914,
9/30/2020,Haryana,1920181,1784906,
10/1/2020,Haryana,1947071,1810686,
10/2/2020,Haryana,1973593,1835720,
10/3/2020,Haryana,1999250,1860408,
10/4/2020,Haryana,2021267,1881421,
10/5/2020,Haryana,2040177,1899393,
10/6/2020,Haryana,2079160,1937126,
10/7/2020,Haryana,2103722,1960080,
10/8/2020,Haryana,2130281,1985376,
10/9/2020,Haryana,2156747,2010557,
10/10/2020,Haryana,2184243,2037038,
10/11/2020,Haryana,2207900,2059967,
10/12/2020,Haryana,2228869,2080161,
10/13/2020,Haryana,2249349,2099570,
10/14/2020,Haryana,2273580,2122372,
10/15/2020,Haryana,2299341,2147116,
10/16/2020,Haryana,2324943,2171575,
10/17/2020,Haryana,2350871,2196371,
10/18/2020,Haryana,2371474,2216063,
10/19/2020,Haryana,2387906,2231220,
10/20/2020,Haryana,2406566,2249081,
10/21/2020,Haryana,2429010,2270379,
10/22/2020,Haryana,2455407,2295280,
10/23/2020,Haryana,2480029,2318573,
10/24/2020,Haryana,2505052,2342213,
10/25/2020,Haryana,2527343,2363741,
10/26/2020,Haryana,2543257,2378724,
10/27/2020,Haryana,2562470,2397074,
10/28/2020,Haryana,2587171,2419630,
10/29/2020,Haryana,2611412,2442239,
10/30/2020,Haryana,2636083,2465381,
10/31/2020,Haryana,2660556,2487987,
11/1/2020,Haryana,2680435,2506822,
11/2/2020,Haryana,2694833,2520247,
11/3/2020,Haryana,2714652,2537989,
11/4/2020,Haryana,2738375,2559356,
11/5/2020,Haryana,2759529,2578623,
11/6/2020,Haryana,2782656,2599454,
11/7/2020,Haryana,2809277,2623750,
11/8/2020,Haryana,2833607,2646119,
11/9/2020,Haryana,2852300,2662908,
11/10/2020,Haryana,2875690,2683493,
11/11/2020,Haryana,2900690,2683493,
11/12/2020,Haryana,2930335,2732430,
11/13/2020,Haryana,2956315,2755864,
11/14/2020,Haryana,2979336,2776925,
11/15/2020,Haryana,2995118,2791274,
11/16/2020,Haryana,3005801,2800445,
11/17/2020,Haryana,3021179,2812982,
11/18/2020,Haryana,3046661,2835091,
11/19/2020,Haryana,3074194,2860380,
11/20/2020,Haryana,3106471,2889297,
11/21/2020,Haryana,3141508,2921480,
11/22/2020,Haryana,3175091,2953103,
11/23/2020,Haryana,3199408,2975016,
11/24/2020,Haryana,3232433,3005363,
11/25/2020,Haryana,3269677,3039676,
11/26/2020,Haryana,3335699,3103597,
11/27/2020,Haryana,3378052,3143516,
11/28/2020,Haryana,3413893,3177814,
11/29/2020,Haryana,3540820,3218960,
11/30/2020,Haryana,3571541,3254060,
12/1/2020,Haryana,3601262,3289802,
12/2/2020,Haryana,3633138,3326702,
12/3/2020,Haryana,3669876,3366702,
12/4/2020,Haryana,3707439,3407802,
12/5/2020,Haryana,3745080,3448402,
12/6/2020,Haryana,3782619,3486902,
12/7/2020,Haryana,3806770,3516402,
12/8/2020,Haryana,3842153,3555002,
